label	years	mean_pi	e_frag_div	mutation_rate	generation_time	ancestral_pop_size	fragment_pop_size	migration_rate	nfrags	nsamples
Lemurs	0.0	0.000167755102041	0.0002	1e-08	4.0	5000.0	100.0	0.0	5	10
Lemurs	20.0	0.000163085714286	0.0002001	1e-08	4.0	5000.0	100.0	0.0	5	10
Lemurs	40.0	0.000157746938776	0.0002002	1e-08	4.0	5000.0	100.0	0.0	5	10
Lemurs	60.0	0.000149551020408	0.0002003	1e-08	4.0	5000.0	100.0	0.0	5	10
Lemurs	80.0	0.000202873469388	0.0002004	1e-08	4.0	5000.0	100.0	0.0	5	10
Lemurs	100.0	0.00025092244898	0.0002005	1e-08	4.0	5000.0	100.0	0.0	5	10
Lice	0.0	0.0808637714286	0.08	1e-07	0.08	200000.0	100000.0	0.0	5	10
Lice	20.0	0.0796854530612	0.08005	1e-07	0.08	200000.0	100000.0	0.0	5	10
Lice	40.0	0.0802407346939	0.0801	1e-07	0.08	200000.0	100000.0	0.0	5	10
Lice	60.0	0.0798636244898	0.08015	1e-07	0.08	200000.0	100000.0	0.0	5	10
Lice	80.0	0.0805484081633	0.0802	1e-07	0.08	200000.0	100000.0	0.0	5	10
Lice	100.0	0.0796218122449	0.08025	1e-07	0.08	200000.0	100000.0	0.0	5	10
Viruses	0.0	0.161822759184	0.16	1e-05	0.011	4000.0	4000.0	0.0	5	10
Viruses	20.0	0.193478220408	0.196363636364	1e-05	0.011	4000.0	4000.0	0.0	5	10
Viruses	40.0	0.220279444898	0.232727272727	1e-05	0.011	4000.0	4000.0	0.0	5	10
Viruses	60.0	0.247997142857	0.269090909091	1e-05	0.011	4000.0	4000.0	0.0	5	10
Viruses	80.0	0.277627232653	0.305454545455	1e-05	0.011	4000.0	4000.0	0.0	5	10
Viruses	100.0	0.306754873469	0.341818181818	1e-05	0.011	4000.0	4000.0	0.0	5	10
